amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 1
1.044679, 2.441680, 0.300486, 1.912332, 8.380000, B
1.464701, 2.443363, 0.260471, 2.021896, 8.380000, C
1.168551, 2.473677, 0.264386, 2.585320, 8.380000, D
1.127113, 2.248073, 0.184153, 2.509260, 8.380000, E
0.671035, 2.446588, 0.270348, 4.986297, 8.380000, F
0.772478, 2.235456, 0.248082, 2.632789, 8.380000, G
0.516535, 2.598366, 0.320663, 4.087576, 8.380000, H
0.637623, 2.098120, 0.216324, 4.042147, 8.380000, I
2.501958, 1.957595, 0.200998, 2.240037, 8.380000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 11
0.387918, 2.320893, 0.221182, 2.978407, 8.130000, A
1.044679, 2.243273, 0.254180, 1.912332, 8.130000, B
1.464701, 2.432705, 0.244071, 2.021896, 8.130000, C
1.168551, 2.406946, 0.247072, 2.585320, 8.130000, D
1.127113, 2.419331, 0.276915, 2.509260, 8.130000, E
0.671035, 1.923877, 0.231447, 4.986297, 8.130000, F
0.772478, 2.247324, 0.274971, 2.632789, 8.130000, G
0.516535, 2.395945, 0.236283, 4.087576, 8.130000, H
0.637623, 2.655914, 0.319912, 4.042147, 8.130000, I
2.501958, 1.656518, 0.195329, 2.240037, 8.130000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 12
0.387918, 1.945778, 0.173224, 2.978407, 7.960000, A
1.044679, 2.188187, 0.237980, 1.912332, 7.960000, B
1.464701, 2.143922, 0.209122, 2.021896, 7.960000, C
1.168551, 2.297391, 0.222512, 2.585320, 7.960000, D
1.127113, 2.255459, 0.254640, 2.509260, 7.960000, E
0.671035, 1.511935, 0.205478, 4.986297, 7.960000, F
0.772478, 2.455439, 0.291775, 2.632789, 7.960000, G
0.516535, 2.392965, 0.241677, 4.087576, 7.960000, H
0.637623, 2.165441, 0.218223, 4.042147, 7.960000, I
2.501958, 1.435418, 0.195275, 2.240037, 7.960000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 13
0.387918, 1.711183, 0.161156, 2.978407, 7.950000, A
1.044679, 2.102289, 0.222104, 1.912332, 7.950000, B
1.464701, 1.984463, 0.231015, 2.021896, 7.950000, C
1.168551, 2.079028, 0.195749, 2.585320, 7.950000, D
1.127113, 2.084229, 0.222700, 2.509260, 7.950000, E
0.671035, 1.245715, 0.192728, 4.986297, 7.950000, F
0.772478, 2.067309, 0.207020, 2.632789, 7.950000, G
0.516535, 2.015473, 0.174652, 4.087576, 7.950000, H
0.637623, 1.810109, 0.177780, 4.042147, 7.950000, I
2.501958, 1.299331, 0.182559, 2.240037, 7.950000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 14
0.387918, 1.650329, 0.176976, 2.978407, 8.330000, A
1.044679, 1.760088, 0.173624, 1.912332, 8.330000, B
1.464701, 1.789571, 0.195599, 2.021896, 8.330000, C
1.168551, 1.758908, 0.178664, 2.585320, 8.330000, D
1.127113, 1.809649, 0.173585, 2.509260, 8.330000, E
0.671035, 1.231942, 0.185022, 4.986297, 8.330000, F
0.772478, 1.726137, 0.167812, 2.632789, 8.330000, G
0.516535, 1.780576, 0.160681, 4.087576, 8.330000, H
0.637623, 1.685953, 0.191638, 4.042147, 8.330000, I
2.501958, 1.320901, 0.207144, 2.240037, 8.330000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 15
0.387918, 1.713034, 0.181957, 2.978407, 8.130000, A
1.044679, 1.467807, 0.153962, 1.912332, 8.130000, B
1.464701, 1.598414, 0.156990, 2.021896, 8.130000, C
1.168551, 1.471316, 0.162140, 2.585320, 8.130000, D
1.127113, 1.535689, 0.149666, 2.509260, 8.130000, E
0.671035, 1.661397, 0.257148, 4.986297, 8.130000, F
0.772478, 1.433576, 0.148376, 2.632789, 8.130000, G
0.516535, 1.615845, 0.132567, 4.087576, 8.130000, H
0.637623, 1.670102, 0.175402, 4.042147, 8.130000, I
2.501958, 1.743628, 0.276113, 2.240037, 8.130000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 16
0.387918, 1.481714, 0.135338, 2.978407, 8.000000, A
1.044679, 1.240018, 0.165815, 1.912332, 8.000000, B
1.464701, 1.412502, 0.152087, 2.021896, 8.000000, C
1.168551, 1.239387, 0.156157, 2.585320, 8.000000, D
1.127113, 1.326641, 0.142914, 2.509260, 8.000000, E
0.671035, 1.689497, 0.194869, 4.986297, 8.000000, F
0.772478, 1.232353, 0.143827, 2.632789, 8.000000, G
0.516535, 1.738448, 0.183599, 4.087576, 8.000000, H
0.637623, 1.585957, 0.163705, 4.042147, 8.000000, I
2.501958, 1.513932, 0.218243, 2.240037, 8.000000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 17
0.387918, 1.325140, 0.121637, 2.978407, 7.850000, A
1.044679, 1.053449, 0.157453, 1.912332, 7.850000, B
1.464701, 1.343856, 0.167397, 2.021896, 7.850000, C
1.168551, 1.073940, 0.140460, 2.585320, 7.850000, D
1.127113, 1.176372, 0.141990, 2.509260, 7.850000, E
0.671035, 1.446146, 0.136108, 4.986297, 7.850000, F
0.772478, 1.115137, 0.148523, 2.632789, 7.850000, G
0.516535, 1.421184, 0.125049, 4.087576, 7.850000, H
0.637623, 1.618646, 0.196629, 4.042147, 7.850000, I
2.501958, 1.295346, 0.160276, 2.240037, 7.850000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 18
0.387918, 1.287057, 0.145201, 2.978407, 7.970000, A
1.044679, 0.932686, 0.146445, 1.912332, 7.970000, B
1.464701, 1.301430, 0.165644, 2.021896, 7.970000, C
1.168551, 0.952606, 0.132380, 2.585320, 7.970000, D
1.127113, 1.109690, 0.130370, 2.509260, 7.970000, E
0.671035, 1.302784, 0.128332, 4.986297, 7.970000, F
0.772478, 1.113619, 0.149020, 2.632789, 7.970000, G
0.516535, 1.145676, 0.114086, 4.087576, 7.970000, H
0.637623, 1.252737, 0.139176, 4.042147, 7.970000, I
2.501958, 1.150391, 0.142682, 2.240037, 7.970000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 19
0.387918, 1.146189, 0.111996, 2.978407, 8.090000, A
1.044679, 0.858000, 0.123377, 1.912332, 8.090000, B
1.464701, 1.114374, 0.123458, 2.021896, 8.090000, C
1.168551, 1.007259, 0.146710, 2.585320, 8.090000, D
1.127113, 1.150469, 0.140192, 2.509260, 8.090000, E
0.671035, 1.131320, 0.091902, 4.986297, 8.090000, F
0.772478, 1.157843, 0.137683, 2.632789, 8.090000, G
0.516535, 0.957100, 0.108014, 4.087576, 8.090000, H
0.637623, 0.997897, 0.127832, 4.042147, 8.090000, I
2.501958, 1.065572, 0.129248, 2.240037, 8.090000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 20
0.387918, 0.984214, 0.087836, 2.978407, 8.080000, A
1.044679, 0.919760, 0.137519, 1.912332, 8.080000, B
1.464701, 0.962566, 0.096766, 2.021896, 8.080000, C
1.168551, 1.158454, 0.160896, 2.585320, 8.080000, D
1.127113, 1.000991, 0.095776, 2.509260, 8.080000, E
0.671035, 1.024998, 0.091864, 4.986297, 8.080000, F
0.772478, 1.021687, 0.099223, 2.632789, 8.080000, G
0.516535, 0.908475, 0.111394, 4.087576, 8.080000, H
0.637623, 0.801457, 0.116666, 4.042147, 8.080000, I
2.501958, 0.987233, 0.110761, 2.240037, 8.080000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 21
0.387918, 0.866217, 0.088202, 2.978407, 8.030000, A
1.044679, 0.930149, 0.127062, 1.912332, 8.030000, B
1.464701, 0.838683, 0.087213, 2.021896, 8.030000, C
1.168551, 0.919972, 0.108412, 2.585320, 8.030000, D
1.127113, 0.877814, 0.084043, 2.509260, 8.030000, E
0.671035, 0.958604, 0.099364, 4.986297, 8.030000, F
0.772478, 0.901980, 0.086000, 2.632789, 8.030000, G
0.516535, 1.067205, 0.152672, 4.087576, 8.030000, H
0.637623, 0.646192, 0.103192, 4.042147, 8.030000, I
2.501958, 0.994925, 0.108367, 2.240037, 8.030000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 22
0.387918, 0.797022, 0.098153, 2.978407, 8.120000, A
1.044679, 0.856463, 0.109219, 1.912332, 8.120000, B
1.464701, 0.746203, 0.090894, 2.021896, 8.120000, C
1.168551, 0.739152, 0.084052, 2.585320, 8.120000, D
1.127113, 0.819221, 0.086931, 2.509260, 8.120000, E
0.671035, 1.039066, 0.112205, 4.986297, 8.120000, F
0.772478, 0.821856, 0.075611, 2.632789, 8.120000, G
0.516535, 0.871742, 0.102394, 4.087576, 8.120000, H
0.637623, 0.554479, 0.088881, 4.042147, 8.120000, I
2.501958, 0.896594, 0.099122, 2.240037, 8.120000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 23
0.387918, 0.850360, 0.112213, 2.978407, 7.920000, A
1.044679, 0.783187, 0.080966, 1.912332, 7.920000, B
1.464701, 0.735821, 0.086496, 2.021896, 7.920000, C
1.168551, 0.608070, 0.071546, 2.585320, 7.920000, D
1.127113, 0.818500, 0.103079, 2.509260, 7.920000, E
0.671035, 0.810381, 0.082414, 4.986297, 7.920000, F
0.772478, 0.860118, 0.103071, 2.632789, 7.920000, G
0.516535, 0.738226, 0.079258, 4.087576, 7.920000, H
0.637623, 0.552031, 0.087271, 4.042147, 7.920000, I
2.501958, 0.801310, 0.088751, 2.240037, 7.920000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 24
0.387918, 0.731702, 0.083414, 2.978407, 7.840000, A
1.044679, 0.698392, 0.073387, 1.912332, 7.840000, B
1.464701, 0.737150, 0.102640, 2.021896, 7.840000, C
1.168551, 0.509806, 0.066436, 2.585320, 7.840000, D
1.127113, 0.781822, 0.087823, 2.509260, 7.840000, E
