amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 1
1.044679, 2.299555, 0.274848, 1.912332, 7.370000, B
1.464701, 2.844961, 0.290733, 2.021896, 7.370000, C
1.168551, 0.875756, 0.147238, 2.585320, 7.370000, D
1.127113, 2.947737, 0.344759, 2.509260, 7.370000, E
0.671035, 3.119160, 0.326212, 4.986297, 7.370000, F
0.772478, 3.059840, 0.357915, 2.632789, 7.370000, G
0.516535, 1.162413, 0.260633, 4.087576, 7.370000, H
0.637623, 0.895828, 0.187348, 4.042147, 7.370000, I
2.501958, 3.023003, 0.355010, 2.240037, 7.370000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 11
0.387918, 1.820072, 0.254171, 2.978407, 7.670000, A
1.044679, 2.042776, 0.276005, 1.912332, 7.670000, B
1.464701, 2.395590, 0.231112, 2.021896, 7.670000, C
1.168551, 1.048599, 0.163890, 2.585320, 7.670000, D
1.127113, 2.563658, 0.287206, 2.509260, 7.670000, E
0.671035, 2.338847, 0.246733, 4.986297, 7.670000, F
0.772478, 2.499711, 0.259466, 2.632789, 7.670000, G
0.516535, 0.882845, 0.217147, 4.087576, 7.670000, H
0.637623, 0.855138, 0.142299, 4.042147, 7.670000, I
2.501958, 2.269060, 0.279189, 2.240037, 7.670000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 12
0.387918, 1.422575, 0.227018, 2.978407, 7.710000, A
1.044679, 2.087599, 0.261779, 1.912332, 7.710000, B
1.464701, 1.951871, 0.192719, 2.021896, 7.710000, C
1.168551, 1.562861, 0.252875, 2.585320, 7.710000, D
1.127113, 1.934142, 0.205390, 2.509260, 7.710000, E
0.671035, 1.759319, 0.229333, 4.986297, 7.710000, F
0.772478, 1.956000, 0.206528, 2.632789, 7.710000, G
0.516535, 0.730235, 0.170697, 4.087576, 7.710000, H
0.637623, 1.263648, 0.200792, 4.042147, 7.710000, I
2.501958, 1.717982, 0.239616, 2.240037, 7.710000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 13
0.387918, 1.172783, 0.188991, 2.978407, 7.450000, A
1.044679, 1.552800, 0.167286, 1.912332, 7.450000, B
1.464701, 1.545630, 0.161711, 2.021896, 7.450000, C
1.168551, 2.190049, 0.349126, 2.585320, 7.450000, D
1.127113, 1.464189, 0.189382, 2.509260, 7.450000, E
0.671035, 1.382871, 0.202579, 4.986297, 7.450000, F
0.772478, 1.544479, 0.180669, 2.632789, 7.450000, G
0.516535, 0.960145, 0.201507, 4.087576, 7.450000, H
0.637623, 1.883467, 0.312354, 4.042147, 7.450000, I
2.501958, 1.326712, 0.219834, 2.240037, 7.450000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 14
0.387918, 1.098534, 0.165155, 2.978407, 7.310000, A
1.044679, 1.154250, 0.148597, 1.912332, 7.310000, B
