amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 1
1.044679, 3.108507, 0.325999, 1.912332, 7.700000, B
1.464701, 3.224497, 0.335231, 2.021896, 7.700000, C
1.168551, 3.247775, 0.257982, 2.585320, 7.700000, D
1.127113, 3.170400, 0.302287, 2.509260, 7.700000, E
0.671035, 3.325254, 0.307789, 4.986297, 7.700000, F
0.772478, 3.284126, 0.318690, 2.632789, 7.700000, G
0.516535, 3.291695, 0.341585, 4.087576, 7.700000, H
0.637623, 3.325328, 0.321593, 4.042147, 7.700000, I
2.501958, 3.164472, 0.319104, 2.240037, 7.700000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 11
0.387918, 3.221811, 0.309857, 2.978407, 7.650000, A
1.044679, 3.196423, 0.340835, 1.912332, 7.650000, B
1.464701, 3.158072, 0.314100, 2.021896, 7.650000, C
1.168551, 3.151262, 0.240625, 2.585320, 7.650000, D
1.127113, 3.126890, 0.297577, 2.509260, 7.650000, E
0.671035, 3.303614, 0.295542, 4.986297, 7.650000, F
0.772478, 3.155504, 0.294613, 2.632789, 7.650000, G
0.516535, 3.218755, 0.307726, 4.087576, 7.650000, H
0.637623, 3.298859, 0.305578, 4.042147, 7.650000, I
2.501958, 3.105498, 0.306484, 2.240037, 7.650000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 12
0.387918, 3.149610, 0.269161, 2.978407, 7.430000, A
1.044679, 3.109012, 0.270275, 1.912332, 7.430000, B
1.464701, 3.112816, 0.293305, 2.021896, 7.430000, C
1.168551, 3.126014, 0.254062, 2.585320, 7.430000, D
1.127113, 3.052646, 0.300206, 2.509260, 7.430000, E
0.671035, 3.239723, 0.281980, 4.986297, 7.430000, F
0.772478, 3.038956, 0.274105, 2.632789, 7.430000, G
0.516535, 3.149876, 0.300643, 4.087576, 7.430000, H
0.637623, 3.239751, 0.287456, 4.042147, 7.430000, I
2.501958, 3.109195, 0.319821, 2.240037, 7.430000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 13
0.387918, 3.077824, 0.251098, 2.978407, 7.280000, A
1.044679, 3.032506, 0.232966, 1.912332, 7.280000, B
1.464701, 3.067843, 0.279086, 2.021896, 7.280000, C
1.168551, 3.049733, 0.263305, 2.585320, 7.280000, D
1.127113, 2.980379, 0.272936, 2.509260, 7.280000, E
0.671035, 3.155024, 0.251457, 4.986297, 7.280000, F
0.772478, 2.954241, 0.270033, 2.632789, 7.280000, G
0.516535, 3.068774, 0.274275, 4.087576, 7.280000, H
0.637623, 3.128540, 0.257833, 4.042147, 7.280000, I
2.501958, 3.097429, 0.322451, 2.240037, 7.280000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 14
0.387918, 2.992592, 0.237027, 2.978407, 7.310000, A
1.044679, 2.934662, 0.227574, 1.912332, 7.310000, B
1.464701, 2.979494, 0.259796, 2.021896, 7.310000, C
1.168551, 2.954837, 0.265856, 2.585320, 7.310000, D
1.127113, 2.933345, 0.279775, 2.509260, 7.310000, E
0.671035, 3.056803, 0.233142, 4.986297, 7.310000, F
0.772478, 2.925908, 0.270121, 2.632789, 7.310000, G
0.516535, 3.008106, 0.261829, 4.087576, 7.310000, H
0.637623, 3.053769, 0.277269, 4.042147, 7.310000, I
2.501958, 2.994955, 0.305363, 2.240037, 7.310000, J
