amount produced/need, avg price, sd, consumption_rate, char
 year: 1
1.174297, 1.697009, 0.180001, 2.509260,E
0.437581, 1.741374, 0.155646, 4.986297,F
1.703011, 1.762771, 0.187145, 2.632789,G
0.685894, 1.768866, 0.194051, 4.087576,H
0.492440, 1.838084, 0.152780, 4.042147,I
2.089728, 1.768041, 0.178433, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 13
1.236869, 1.610556, 0.162116, 2.978407,A
2.009290, 1.551383, 0.201915, 1.912332,B
1.427492, 1.631061, 0.171237, 2.021896,C
1.315148, 1.567891, 0.167004, 2.585320,D
1.174297, 1.602305, 0.186876, 2.509260,E
0.437581, 1.572190, 0.156851, 4.986297,F
1.703011, 1.682600, 0.173949, 2.632789,G
0.685894, 1.604563, 0.167418, 4.087576,H
0.492440, 1.684181, 0.131917, 4.042147,I
2.089728, 1.569373, 0.176573, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 14
1.236869, 1.426523, 0.147604, 2.978407,A
2.009290, 1.440819, 0.181775, 1.912332,B
1.427492, 1.473882, 0.140470, 2.021896,C
1.315148, 1.492848, 0.161613, 2.585320,D
1.174297, 1.480257, 0.180116, 2.509260,E
0.437581, 1.490912, 0.160983, 4.986297,F
1.703011, 1.517880, 0.154108, 2.632789,G
0.685894, 1.482834, 0.141220, 4.087576,H
0.492440, 1.511635, 0.115631, 4.042147,I
2.089728, 1.395534, 0.161612, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 15
1.236869, 1.271320, 0.141228, 2.978407,A
2.009290, 1.341962, 0.166957, 1.912332,B
1.427492, 1.360017, 0.115888, 2.021896,C
1.315148, 1.388966, 0.144743, 2.585320,D
1.174297, 1.369673, 0.151611, 2.509260,E
0.437581, 1.421258, 0.160995, 4.986297,F
1.703011, 1.331453, 0.132941, 2.632789,G
0.685894, 1.342818, 0.120722, 4.087576,H
0.492440, 1.352376, 0.113474, 4.042147,I
2.089728, 1.228109, 0.146963, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 16
1.236869, 1.145934, 0.134092, 2.978407,A
2.009290, 1.231146, 0.150169, 1.912332,B
1.427492, 1.215037, 0.108419, 2.021896,C
1.315148, 1.243584, 0.119109, 2.585320,D
1.174297, 1.239083, 0.129563, 2.509260,E
0.437581, 1.319813, 0.139024, 4.986297,F
1.703011, 1.192098, 0.122669, 2.632789,G
0.685894, 1.253281, 0.121824, 4.087576,H
0.492440, 1.221416, 0.121202, 4.042147,I
2.089728, 1.116750, 0.144025, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 17
1.236869, 1.024113, 0.125627, 2.978407,A
2.009290, 1.129901, 0.143261, 1.912332,B
1.427492, 1.081723, 0.114938, 2.021896,C
1.315148, 1.113708, 0.102030, 2.585320,D
1.174297, 1.120819, 0.116860, 2.509260,E
0.437581, 1.161908, 0.113232, 4.986297,F
1.703011, 1.066733, 0.124002, 2.632789,G
0.685894, 1.160732, 0.114541, 4.087576,H
0.492440, 1.139987, 0.122940, 4.042147,I
2.089728, 1.038682, 0.145156, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 18
1.236869, 0.966603, 0.117679, 2.978407,A
2.009290, 1.019678, 0.126683, 1.912332,B
1.427492, 0.956690, 0.111557, 2.021896,C
1.315148, 0.998846, 0.093943, 2.585320,D
1.174297, 0.996870, 0.110889, 2.509260,E
0.437581, 1.014392, 0.092815, 4.986297,F
1.703011, 0.961324, 0.122406, 2.632789,G
0.685894, 1.048537, 0.101628, 4.087576,H
0.492440, 1.054620, 0.104092, 4.042147,I
2.089728, 0.976119, 0.136347, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 19
1.236869, 0.887719, 0.103275, 2.978407,A
2.009290, 0.900561, 0.112655, 1.912332,B
1.427492, 0.868148, 0.115654, 2.021896,C
1.315148, 0.883596, 0.094761, 2.585320,D
1.174297, 0.879128, 0.101358, 2.509260,E
0.437581, 0.921284, 0.097664, 4.986297,F
1.703011, 0.872843, 0.123317, 2.632789,G
0.685894, 0.929472, 0.088553, 4.087576,H
0.492440, 0.939426, 0.091964, 4.042147,I
2.089728, 0.910261, 0.129333, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 20
1.236869, 0.807216, 0.092699, 2.978407,A
2.009290, 0.793657, 0.108269, 1.912332,B
1.427492, 0.773699, 0.108315, 2.021896,C
1.315148, 0.782325, 0.089033, 2.585320,D
1.174297, 0.796623, 0.096486, 2.509260,E
0.437581, 0.839225, 0.093130, 4.986297,F
1.703011, 0.801731, 0.114364, 2.632789,G
0.685894, 0.823891, 0.088045, 4.087576,H
0.492440, 0.834016, 0.080030, 4.042147,I
2.089728, 0.816460, 0.111586, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 21
1.236869, 0.752537, 0.087908, 2.978407,A
2.009290, 0.698748, 0.097734, 1.912332,B
1.427492, 0.703952, 0.105409, 2.021896,C
1.315148, 0.703420, 0.090631, 2.585320,D
1.174297, 0.722704, 0.092435, 2.509260,E
0.437581, 0.746672, 0.079222, 4.986297,F
1.703011, 0.743237, 0.100722, 2.632789,G
0.685894, 0.734486, 0.085486, 4.087576,H
0.492440, 0.748493, 0.076207, 4.042147,I
2.089728, 0.729132, 0.097462, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 22
1.236869, 0.683074, 0.072373, 2.978407,A
2.009290, 0.618956, 0.087704, 1.912332,B
1.427492, 0.631928, 0.098471, 2.021896,C
1.315148, 0.627584, 0.086746, 2.585320,D
1.174297, 0.647304, 0.088589, 2.509260,E
0.437581, 0.681382, 0.078145, 4.986297,F
1.703011, 0.676318, 0.092199, 2.632789,G
0.685894, 0.656238, 0.077533, 4.087576,H
0.492440, 0.670212, 0.072565, 4.042147,I
2.089728, 0.651479, 0.088645, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 23
1.236869, 0.629364, 0.064229, 2.978407,A
2.009290, 0.544277, 0.078913, 1.912332,B
1.427492, 0.579999, 0.087674, 2.021896,C
1.315148, 0.564235, 0.082959, 2.585320,D
1.174297, 0.574251, 0.077654, 2.509260,E
0.437581, 0.614380, 0.071281, 4.986297,F
1.703011, 0.587420, 0.079815, 2.632789,G
0.685894, 0.590692, 0.065887, 4.087576,H
0.492440, 0.595395, 0.066391, 4.042147,I
2.089728, 0.573551, 0.077077, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 24
1.236869, 0.555962, 0.061719, 2.978407,A
2.009290, 0.487132, 0.075234, 1.912332,B
1.427492, 0.527131, 0.073367, 2.021896,C
1.315148, 0.499834, 0.075190, 2.585320,D
1.174297, 0.513974, 0.076252, 2.509260,E
0.437581, 0.553551, 0.062264, 4.986297,F
1.703011, 0.512608, 0.070820, 2.632789,G
0.685894, 0.555477, 0.060603, 4.087576,H
0.492440, 0.542889, 0.064865, 4.042147,I
2.089728, 0.509254, 0.069228, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 25
1.236869, 0.482562, 0.053804, 2.978407,A
2.009290, 0.436927, 0.068443, 1.912332,B
1.427492, 0.468510, 0.065439, 2.021896,C
1.315148, 0.446324, 0.070215, 2.585320,D
1.174297, 0.461594, 0.065842, 2.509260,E
0.437581, 0.499260, 0.056052, 4.986297,F
1.703011, 0.452982, 0.066215, 2.632789,G
0.685894, 0.499828, 0.049968, 4.087576,H
0.492440, 0.496938, 0.060931, 4.042147,I
2.089728, 0.453533, 0.060973, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 26
1.236869, 0.418006, 0.049657, 2.978407,A
2.009290, 0.391882, 0.062983, 1.912332,B
1.427492, 0.415738, 0.055401, 2.021896,C
1.315148, 0.399210, 0.059950, 2.585320,D
1.174297, 0.415134, 0.059357, 2.509260,E
0.437581, 0.446301, 0.050924, 4.986297,F
1.703011, 0.400639, 0.058206, 2.632789,G
0.685894, 0.440751, 0.041956, 4.087576,H
0.492440, 0.440417, 0.052614, 4.042147,I
2.089728, 0.408395, 0.056396, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 27
1.236869, 0.361087, 0.046521, 2.978407,A
2.009290, 0.358387, 0.062420, 1.912332,B
1.427492, 0.370501, 0.049950, 2.021896,C
1.315148, 0.366690, 0.055631, 2.585320,D
1.174297, 0.373154, 0.052738, 2.509260,E
0.437581, 0.385895, 0.040919, 4.986297,F
1.703011, 0.363901, 0.054606, 2.632789,G
0.685894, 0.388178, 0.040715, 4.087576,H
0.492440, 0.379908, 0.045670, 4.042147,I
2.089728, 0.369935, 0.052129, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 28
1.236869, 0.314819, 0.044241, 2.978407,A
2.009290, 0.319684, 0.055339, 1.912332,B
1.427492, 0.328021, 0.044910, 2.021896,C
1.315148, 0.335204, 0.047655, 2.585320,D
1.174297, 0.340104, 0.048473, 2.509260,E
0.437581, 0.349419, 0.038613, 4.986297,F
1.703011, 0.329972, 0.046331, 2.632789,G
0.685894, 0.342355, 0.039008, 4.087576,H
0.492440, 0.332705, 0.042196, 4.042147,I
2.089728, 0.331619, 0.045219, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 29
1.236869, 0.279314, 0.041424, 2.978407,A
2.009290, 0.285072, 0.050740, 1.912332,B
1.427492, 0.291784, 0.040594, 2.021896,C
1.315148, 0.301356, 0.042523, 2.585320,D
1.174297, 0.302410, 0.044074, 2.509260,E
0.437581, 0.308717, 0.034917, 4.986297,F
1.703011, 0.298502, 0.039692, 2.632789,G
0.685894, 0.303294, 0.039101, 4.087576,H
0.492440, 0.294987, 0.037579, 4.042147,I
2.089728, 0.295822, 0.041088, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 30
1.236869, 0.249263, 0.038239, 2.978407,A
2.009290, 0.252302, 0.044070, 1.912332,B
1.427492, 0.256945, 0.038121, 2.021896,C
1.315148, 0.269918, 0.038138, 2.585320,D
1.174297, 0.266785, 0.037547, 2.509260,E
0.437581, 0.272099, 0.030524, 4.986297,F
1.703011, 0.272508, 0.037338, 2.632789,G
0.685894, 0.272599, 0.036679, 4.087576,H
0.492440, 0.260408, 0.034004, 4.042147,I
2.089728, 0.264470, 0.037201, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 31
1.236869, 0.223232, 0.034682, 2.978407,A
2.009290, 0.226069, 0.037640, 1.912332,B
1.427492, 0.229634, 0.035760, 2.021896,C
1.315148, 0.238118, 0.032357, 2.585320,D
1.174297, 0.235768, 0.032954, 2.509260,E
0.437581, 0.242393, 0.029207, 4.986297,F
1.703011, 0.239467, 0.030795, 2.632789,G
0.685894, 0.245240, 0.033735, 4.087576,H
0.492440, 0.235309, 0.029124, 4.042147,I
2.089728, 0.232874, 0.030863, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 32
1.236869, 0.201754, 0.031328, 2.978407,A
2.009290, 0.200347, 0.032910, 1.912332,B
1.427492, 0.203679, 0.032552, 2.021896,C
1.315148, 0.209745, 0.028421, 2.585320,D
1.174297, 0.208209, 0.029884, 2.509260,E
0.437581, 0.218832, 0.026727, 4.986297,F
1.703011, 0.209049, 0.027402, 2.632789,G
0.685894, 0.214435, 0.028960, 4.087576,H
0.492440, 0.216017, 0.027161, 4.042147,I
2.089728, 0.207361, 0.028845, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 33
1.236869, 0.185105, 0.028348, 2.978407,A
2.009290, 0.180206, 0.028332, 1.912332,B
1.427492, 0.183175, 0.028490, 2.021896,C
1.315148, 0.184020, 0.024927, 2.585320,D
1.174297, 0.181728, 0.027363, 2.509260,E
0.437581, 0.199153, 0.024627, 4.986297,F
1.703011, 0.183382, 0.024842, 2.632789,G
0.685894, 0.187988, 0.025128, 4.087576,H
0.492440, 0.192469, 0.024289, 4.042147,I
2.089728, 0.181802, 0.026847, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 34
1.236869, 0.168532, 0.023941, 2.978407,A
2.009290, 0.161409, 0.024812, 1.912332,B
1.427492, 0.162786, 0.024883, 2.021896,C
1.315148, 0.160328, 0.022487, 2.585320,D
1.174297, 0.158453, 0.024467, 2.509260,E
0.437581, 0.172307, 0.021504, 4.986297,F
1.703011, 0.164226, 0.022949, 2.632789,G
0.685894, 0.166175, 0.022848, 4.087576,H
0.492440, 0.171717, 0.022266, 4.042147,I
2.089728, 0.159126, 0.024249, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 35
1.236869, 0.150819, 0.020700, 2.978407,A
2.009290, 0.143658, 0.022054, 1.912332,B
1.427492, 0.142829, 0.022629, 2.021896,C
1.315148, 0.141148, 0.020379, 2.585320,D
1.174297, 0.138277, 0.022184, 2.509260,E
0.437581, 0.149349, 0.018937, 4.986297,F
1.703011, 0.145800, 0.021590, 2.632789,G
0.685894, 0.148268, 0.020929, 4.087576,H
0.492440, 0.152156, 0.021177, 4.042147,I
