amount produced/need, avg price, sd, consumption_rate, char
 year: 1
0.492440, 0.022088, 0.003249, 4.042147,I
2.089728, 0.021860, 0.003787, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 51
1.236869, 0.017588, 0.003345, 2.978407,A
2.009290, 0.019281, 0.003299, 1.912332,B
1.427492, 0.018559, 0.003390, 2.021896,C
1.315148, 0.018817, 0.002964, 2.585320,D
1.174297, 0.018536, 0.003243, 2.509260,E
0.437581, 0.019644, 0.002840, 4.986297,F
1.703011, 0.018809, 0.003327, 2.632789,G
0.685894, 0.019324, 0.003166, 4.087576,H
0.492440, 0.019698, 0.002839, 4.042147,I
2.089728, 0.018827, 0.003378, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 52
1.236869, 0.015588, 0.002995, 2.978407,A
2.009290, 0.016853, 0.002795, 1.912332,B
1.427492, 0.016358, 0.003051, 2.021896,C
1.315148, 0.016379, 0.002699, 2.585320,D
1.174297, 0.016210, 0.002804, 2.509260,E
0.437581, 0.017152, 0.002551, 4.986297,F
1.703011, 0.016479, 0.002951, 2.632789,G
0.685894, 0.017100, 0.002727, 4.087576,H
0.492440, 0.017300, 0.002580, 4.042147,I
2.089728, 0.016229, 0.003070, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 53
1.236869, 0.014001, 0.002778, 2.978407,A
2.009290, 0.014796, 0.002446, 1.912332,B
1.427492, 0.014328, 0.002801, 2.021896,C
1.315148, 0.014229, 0.002521, 2.585320,D
1.174297, 0.014157, 0.002563, 2.509260,E
0.437581, 0.015074, 0.002397, 4.986297,F
1.703011, 0.014323, 0.002657, 2.632789,G
0.685894, 0.015220, 0.002421, 4.087576,H
0.492440, 0.015010, 0.002437, 4.042147,I
2.089728, 0.014012, 0.002688, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 54
1.236869, 0.012571, 0.002377, 2.978407,A
2.009290, 0.012806, 0.002188, 1.912332,B
1.427492, 0.012596, 0.002606, 2.021896,C
1.315148, 0.012385, 0.002328, 2.585320,D
1.174297, 0.012517, 0.002402, 2.509260,E
0.437581, 0.013376, 0.002210, 4.986297,F
1.703011, 0.012429, 0.002399, 2.632789,G
0.685894, 0.013543, 0.002155, 4.087576,H
0.492440, 0.013342, 0.002231, 4.042147,I
2.089728, 0.012123, 0.002517, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 55
1.236869, 0.011298, 0.002117, 2.978407,A
2.009290, 0.011133, 0.001952, 1.912332,B
1.427492, 0.010951, 0.002212, 2.021896,C
1.315148, 0.010849, 0.002074, 2.585320,D
1.174297, 0.011100, 0.002113, 2.509260,E
0.437581, 0.011968, 0.001913, 4.986297,F
1.703011, 0.010926, 0.002061, 2.632789,G
0.685894, 0.011887, 0.001949, 4.087576,H
0.492440, 0.011668, 0.001883, 4.042147,I
2.089728, 0.010409, 0.002250, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 56
1.236869, 0.010206, 0.001874, 2.978407,A
2.009290, 0.009636, 0.001768, 1.912332,B
1.427492, 0.009497, 0.001922, 2.021896,C
1.315148, 0.009545, 0.001883, 2.585320,D
1.174297, 0.009846, 0.001915, 2.509260,E
0.437581, 0.010416, 0.001685, 4.986297,F
1.703011, 0.009629, 0.001791, 2.632789,G
0.685894, 0.010256, 0.001716, 4.087576,H
0.492440, 0.010355, 0.001671, 4.042147,I
2.089728, 0.008997, 0.002015, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 57
1.236869, 0.009022, 0.001484, 2.978407,A
2.009290, 0.008350, 0.001572, 1.912332,B
1.427492, 0.008205, 0.001677, 2.021896,C
1.315148, 0.008516, 0.001729, 2.585320,D
1.174297, 0.008740, 0.001638, 2.509260,E
0.437581, 0.009181, 0.001446, 4.986297,F
1.703011, 0.008552, 0.001596, 2.632789,G
0.685894, 0.008809, 0.001520, 4.087576,H
0.492440, 0.009078, 0.001540, 4.042147,I
2.089728, 0.007860, 0.001749, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 58
1.236869, 0.007906, 0.001317, 2.978407,A
2.009290, 0.007192, 0.001402, 1.912332,B
1.427492, 0.007133, 0.001452, 2.021896,C
1.315148, 0.007544, 0.001512, 2.585320,D
1.174297, 0.007600, 0.001433, 2.509260,E
0.437581, 0.008138, 0.001249, 4.986297,F
1.703011, 0.007626, 0.001410, 2.632789,G
0.685894, 0.007556, 0.001307, 4.087576,H
0.492440, 0.007822, 0.001268, 4.042147,I
2.089728, 0.006870, 0.001461, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 59
1.236869, 0.006892, 0.001121, 2.978407,A
2.009290, 0.006226, 0.001257, 1.912332,B
1.427492, 0.006260, 0.001320, 2.021896,C
1.315148, 0.006605, 0.001339, 2.585320,D
1.174297, 0.006647, 0.001321, 2.509260,E
0.437581, 0.007076, 0.001116, 4.986297,F
1.703011, 0.006768, 0.001299, 2.632789,G
0.685894, 0.006527, 0.001165, 4.087576,H
0.492440, 0.006802, 0.001168, 4.042147,I
2.089728, 0.006055, 0.001281, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 60
1.236869, 0.005964, 0.000990, 2.978407,A
2.009290, 0.005356, 0.001095, 1.912332,B
1.427492, 0.005465, 0.001157, 2.021896,C
1.315148, 0.005731, 0.001153, 2.585320,D
1.174297, 0.005768, 0.001140, 2.509260,E
0.437581, 0.006215, 0.000965, 4.986297,F
1.703011, 0.005930, 0.001110, 2.632789,G
0.685894, 0.005735, 0.001012, 4.087576,H
0.492440, 0.005933, 0.000990, 4.042147,I
2.089728, 0.005348, 0.001107, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 61
1.236869, 0.005190, 0.000869, 2.978407,A
2.009290, 0.004646, 0.000954, 1.912332,B
1.427492, 0.004787, 0.001043, 2.021896,C
1.315148, 0.005030, 0.001019, 2.585320,D
1.174297, 0.004913, 0.001008, 2.509260,E
0.437581, 0.005386, 0.000855, 4.986297,F
1.703011, 0.005105, 0.000949, 2.632789,G
0.685894, 0.005080, 0.000889, 4.087576,H
0.492440, 0.005199, 0.000888, 4.042147,I
2.089728, 0.004740, 0.000961, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 62
1.236869, 0.004514, 0.000792, 2.978407,A
2.009290, 0.004068, 0.000876, 1.912332,B
1.427492, 0.004205, 0.000947, 2.021896,C
1.315148, 0.004401, 0.000869, 2.585320,D
1.174297, 0.004199, 0.000866, 2.509260,E
0.437581, 0.004601, 0.000753, 4.986297,F
1.703011, 0.004386, 0.000828, 2.632789,G
0.685894, 0.004551, 0.000774, 4.087576,H
0.492440, 0.004563, 0.000791, 4.042147,I
2.089728, 0.004283, 0.000866, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 63
1.236869, 0.003872, 0.000677, 2.978407,A
2.009290, 0.003589, 0.000780, 1.912332,B
1.427492, 0.003714, 0.000843, 2.021896,C
1.315148, 0.003863, 0.000759, 2.585320,D
1.174297, 0.003637, 0.000764, 2.509260,E
0.437581, 0.003932, 0.000660, 4.986297,F
1.703011, 0.003768, 0.000706, 2.632789,G
0.685894, 0.004083, 0.000664, 4.087576,H
0.492440, 0.004025, 0.000692, 4.042147,I
2.089728, 0.003801, 0.000737, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 64
1.236869, 0.003343, 0.000611, 2.978407,A
2.009290, 0.003134, 0.000699, 1.912332,B
1.427492, 0.003251, 0.000729, 2.021896,C
1.315148, 0.003354, 0.000637, 2.585320,D
1.174297, 0.003184, 0.000664, 2.509260,E
0.437581, 0.003365, 0.000590, 4.986297,F
1.703011, 0.003263, 0.000625, 2.632789,G
0.685894, 0.003568, 0.000573, 4.087576,H
0.492440, 0.003487, 0.000610, 4.042147,I
2.089728, 0.003402, 0.000627, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 65
1.236869, 0.002890, 0.000539, 2.978407,A
2.009290, 0.002733, 0.000624, 1.912332,B
1.427492, 0.002806, 0.000641, 2.021896,C
1.315148, 0.002916, 0.000560, 2.585320,D
1.174297, 0.002783, 0.000594, 2.509260,E
0.437581, 0.002945, 0.000532, 4.986297,F
1.703011, 0.002845, 0.000553, 2.632789,G
0.685894, 0.003044, 0.000500, 4.087576,H
0.492440, 0.003006, 0.000533, 4.042147,I
2.089728, 0.003020, 0.000543, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 66
1.236869, 0.002524, 0.000484, 2.978407,A
2.009290, 0.002417, 0.000558, 1.912332,B
1.427492, 0.002441, 0.000569, 2.021896,C
1.315148, 0.002543, 0.000504, 2.585320,D
1.174297, 0.002454, 0.000527, 2.509260,E
0.437581, 0.002655, 0.000464, 4.986297,F
1.703011, 0.002504, 0.000511, 2.632789,G
0.685894, 0.002607, 0.000443, 4.087576,H
0.492440, 0.002590, 0.000468, 4.042147,I
2.089728, 0.002616, 0.000479, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 67
1.236869, 0.002213, 0.000417, 2.978407,A
2.009290, 0.002142, 0.000485, 1.912332,B
1.427492, 0.002109, 0.000480, 2.021896,C
1.315148, 0.002200, 0.000444, 2.585320,D
1.174297, 0.002153, 0.000456, 2.509260,E
0.437581, 0.002356, 0.000398, 4.986297,F
1.703011, 0.002166, 0.000429, 2.632789,G
0.685894, 0.002239, 0.000382, 4.087576,H
0.492440, 0.002283, 0.000424, 4.042147,I
2.089728, 0.002229, 0.000407, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 68
1.236869, 0.001920, 0.000372, 2.978407,A
2.009290, 0.001872, 0.000417, 1.912332,B
1.427492, 0.001808, 0.000416, 2.021896,C
1.315148, 0.001881, 0.000388, 2.585320,D
1.174297, 0.001889, 0.000399, 2.509260,E
0.437581, 0.002064, 0.000360, 4.986297,F
1.703011, 0.001890, 0.000378, 2.632789,G
0.685894, 0.001935, 0.000338, 4.087576,H
0.492440, 0.002004, 0.000374, 4.042147,I
2.089728, 0.001911, 0.000363, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 69
1.236869, 0.001680, 0.000337, 2.978407,A
2.009290, 0.001619, 0.000356, 1.912332,B
1.427492, 0.001602, 0.000370, 2.021896,C
1.315148, 0.001641, 0.000351, 2.585320,D
1.174297, 0.001674, 0.000349, 2.509260,E
0.437581, 0.001780, 0.000320, 4.986297,F
1.703011, 0.001657, 0.000338, 2.632789,G
0.685894, 0.001682, 0.000311, 4.087576,H
0.492440, 0.001758, 0.000337, 4.042147,I
2.089728, 0.001638, 0.000330, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 70
1.236869, 0.001456, 0.000289, 2.978407,A
2.009290, 0.001404, 0.000302, 1.912332,B
1.427492, 0.001408, 0.000309, 2.021896,C
1.315148, 0.001449, 0.000304, 2.585320,D
1.174297, 0.001475, 0.000299, 2.509260,E
0.437581, 0.001542, 0.000270, 4.986297,F
1.703011, 0.001445, 0.000276, 2.632789,G
0.685894, 0.001483, 0.000275, 4.087576,H
0.492440, 0.001526, 0.000288, 4.042147,I
2.089728, 0.001416, 0.000290, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 71
1.236869, 0.001267, 0.000251, 2.978407,A
2.009290, 0.001204, 0.000264, 1.912332,B
1.427492, 0.001234, 0.000269, 2.021896,C
1.315148, 0.001259, 0.000271, 2.585320,D
1.174297, 0.001292, 0.000267, 2.509260,E
0.437581, 0.001322, 0.000233, 4.986297,F
1.703011, 0.001258, 0.000243, 2.632789,G
0.685894, 0.001292, 0.000244, 4.087576,H
0.492440, 0.001320, 0.000250, 4.042147,I
2.089728, 0.001220, 0.000257, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 72
1.236869, 0.001126, 0.000225, 2.978407,A
2.009290, 0.001040, 0.000236, 1.912332,B
1.427492, 0.001078, 0.000235, 2.021896,C
1.315148, 0.001106, 0.000246, 2.585320,D
1.174297, 0.001115, 0.000237, 2.509260,E
0.437581, 0.001139, 0.000210, 4.986297,F
1.703011, 0.001106, 0.000214, 2.632789,G
0.685894, 0.001114, 0.000213, 4.087576,H
0.492440, 0.001143, 0.000220, 4.042147,I
2.089728, 0.001052, 0.000228, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 73
1.236869, 0.000984, 0.000193, 2.978407,A
2.009290, 0.000904, 0.000212, 1.912332,B
1.427492, 0.000952, 0.000207, 2.021896,C
1.315148, 0.000967, 0.000215, 2.585320,D
1.174297, 0.000962, 0.000208, 2.509260,E
0.437581, 0.001001, 0.000188, 4.986297,F
1.703011, 0.000980, 0.000191, 2.632789,G
0.685894, 0.000975, 0.000187, 4.087576,H
0.492440, 0.001004, 0.000189, 4.042147,I
2.089728, 0.000905, 0.000204, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 74
1.236869, 0.000857, 0.000169, 2.978407,A
2.009290, 0.000795, 0.000190, 1.912332,B
1.427492, 0.000834, 0.000186, 2.021896,C
1.315148, 0.000831, 0.000181, 2.585320,D
1.174297, 0.000829, 0.000179, 2.509260,E
0.437581, 0.000880, 0.000161, 4.986297,F
1.703011, 0.000864, 0.000169, 2.632789,G
0.685894, 0.000860, 0.000163, 4.087576,H
0.492440, 0.000884, 0.000162, 4.042147,I
2.089728, 0.000777, 0.000179, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 75
1.236869, 0.000745, 0.000147, 2.978407,A
2.009290, 0.000700, 0.000164, 1.912332,B
1.427492, 0.000737, 0.000165, 2.021896,C
1.315148, 0.000720, 0.000153, 2.585320,D
1.174297, 0.000721, 0.000157, 2.509260,E
0.437581, 0.000763, 0.000135, 4.986297,F
1.703011, 0.000750, 0.000150, 2.632789,G
0.685894, 0.000764, 0.000139, 4.087576,H
0.492440, 0.000776, 0.000142, 4.042147,I
2.089728, 0.000675, 0.000159, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 76
1.236869, 0.000664, 0.000132, 2.978407,A
2.009290, 0.000611, 0.000144, 1.912332,B
1.427492, 0.000653, 0.000148, 2.021896,C
1.315148, 0.000629, 0.000135, 2.585320,D
1.174297, 0.000627, 0.000137, 2.509260,E
0.437581, 0.000664, 0.000121, 4.986297,F
1.703011, 0.000645, 0.000134, 2.632789,G
0.685894, 0.000676, 0.000121, 4.087576,H
0.492440, 0.000670, 0.000123, 4.042147,I
2.089728, 0.000587, 0.000142, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 77
1.236869, 0.000582, 0.000119, 2.978407,A
2.009290, 0.000539, 0.000128, 1.912332,B
1.427492, 0.000568, 0.000130, 2.021896,C
1.315148, 0.000547, 0.000121, 2.585320,D
1.174297, 0.000545, 0.000121, 2.509260,E
0.437581, 0.000580, 0.000112, 4.986297,F
1.703011, 0.000555, 0.000119, 2.632789,G
0.685894, 0.000594, 0.000108, 4.087576,H
0.492440, 0.000582, 0.000106, 4.042147,I
2.089728, 0.000513, 0.000131, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 78
1.236869, 0.000508, 0.000105, 2.978407,A
2.009290, 0.000474, 0.000114, 1.912332,B
1.427492, 0.000493, 0.000113, 2.021896,C
1.315148, 0.000475, 0.000106, 2.585320,D
1.174297, 0.000477, 0.000104, 2.509260,E
0.437581, 0.000510, 0.000100, 4.986297,F
1.703011, 0.000478, 0.000107, 2.632789,G
0.685894, 0.000520, 0.000097, 4.087576,H
0.492440, 0.000502, 0.000096, 4.042147,I
2.089728, 0.000456, 0.000113, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 79
1.236869, 0.000438, 0.000094, 2.978407,A
2.009290, 0.000410, 0.000099, 1.912332,B
1.427492, 0.000424, 0.000100, 2.021896,C
1.315148, 0.000411, 0.000094, 2.585320,D
1.174297, 0.000415, 0.000093, 2.509260,E
0.437581, 0.000440, 0.000088, 4.986297,F
1.703011, 0.000413, 0.000095, 2.632789,G
0.685894, 0.000451, 0.000087, 4.087576,H
0.492440, 0.000435, 0.000083, 4.042147,I
2.089728, 0.000405, 0.000098, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 80
1.236869, 0.000371, 0.000081, 2.978407,A
2.009290, 0.000358, 0.000085, 1.912332,B
1.427492, 0.000365, 0.000085, 2.021896,C
1.315148, 0.000358, 0.000083, 2.585320,D
1.174297, 0.000361, 0.000082, 2.509260,E
0.437581, 0.000389, 0.000078, 4.986297,F
1.703011, 0.000359, 0.000085, 2.632789,G
0.685894, 0.000390, 0.000077, 4.087576,H
0.492440, 0.000374, 0.000073, 4.042147,I
2.089728, 0.000358, 0.000083, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 81
1.236869, 0.000319, 0.000071, 2.978407,A
2.009290, 0.000313, 0.000071, 1.912332,B
1.427492, 0.000313, 0.000074, 2.021896,C
1.315148, 0.000313, 0.000073, 2.585320,D
1.174297, 0.000314, 0.000073, 2.509260,E
0.437581, 0.000340, 0.000069, 4.986297,F
1.703011, 0.000311, 0.000075, 2.632789,G
0.685894, 0.000335, 0.000069, 4.087576,H
0.492440, 0.000323, 0.000066, 4.042147,I
2.089728, 0.000318, 0.000072, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 82
1.236869, 0.000273, 0.000061, 2.978407,A
2.009290, 0.000273, 0.000059, 1.912332,B
1.427492, 0.000271, 0.000065, 2.021896,C
1.315148, 0.000274, 0.000065, 2.585320,D
1.174297, 0.000273, 0.000063, 2.509260,E
0.437581, 0.000296, 0.000059, 4.986297,F
1.703011, 0.000272, 0.000065, 2.632789,G
0.685894, 0.000290, 0.000062, 4.087576,H
0.492440, 0.000284, 0.000060, 4.042147,I
2.089728, 0.000279, 0.000064, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 83
1.236869, 0.000237, 0.000054, 2.978407,A
2.009290, 0.000242, 0.000053, 1.912332,B
1.427492, 0.000233, 0.000056, 2.021896,C
1.315148, 0.000241, 0.000057, 2.585320,D
1.174297, 0.000238, 0.000056, 2.509260,E
0.437581, 0.000255, 0.000053, 4.986297,F
1.703011, 0.000243, 0.000058, 2.632789,G
0.685894, 0.000249, 0.000056, 4.087576,H
0.492440, 0.000249, 0.000055, 4.042147,I
2.089728, 0.000243, 0.000055, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 84
1.236869, 0.000206, 0.000047, 2.978407,A
2.009290, 0.000209, 0.000046, 1.912332,B
1.427492, 0.000200, 0.000047, 2.021896,C
1.315148, 0.000212, 0.000048, 2.585320,D
1.174297, 0.000210, 0.000049, 2.509260,E
0.437581, 0.000221, 0.000045, 4.986297,F
1.703011, 0.000215, 0.000050, 2.632789,G
0.685894, 0.000214, 0.000047, 4.087576,H
0.492440, 0.000215, 0.000047, 4.042147,I
2.089728, 0.000207, 0.000047, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 85
1.236869, 0.000183, 0.000041, 2.978407,A
2.009290, 0.000182, 0.000042, 1.912332,B
1.427492, 0.000174, 0.000039, 2.021896,C
1.315148, 0.000184, 0.000042, 2.585320,D
1.174297, 0.000184, 0.000044, 2.509260,E
0.437581, 0.000191, 0.000040, 4.986297,F
1.703011, 0.000186, 0.000042, 2.632789,G
0.685894, 0.000187, 0.000042, 4.087576,H
0.492440, 0.000187, 0.000042, 4.042147,I
2.089728, 0.000175, 0.000040, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 86
1.236869, 0.000162, 0.000036, 2.978407,A
2.009290, 0.000157, 0.000036, 1.912332,B
1.427492, 0.000152, 0.000034, 2.021896,C
1.315148, 0.000160, 0.000036, 2.585320,D
1.174297, 0.000159, 0.000039, 2.509260,E
0.437581, 0.000164, 0.000036, 4.986297,F
1.703011, 0.000161, 0.000037, 2.632789,G
0.685894, 0.000162, 0.000037, 4.087576,H
0.492440, 0.000161, 0.000037, 4.042147,I
2.089728, 0.000151, 0.000035, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 87
1.236869, 0.000143, 0.000031, 2.978407,A
2.009290, 0.000135, 0.000031, 1.912332,B
1.427492, 0.000134, 0.000031, 2.021896,C
1.315148, 0.000138, 0.000031, 2.585320,D
1.174297, 0.000138, 0.000034, 2.509260,E
0.437581, 0.000141, 0.000031, 4.986297,F
1.703011, 0.000138, 0.000031, 2.632789,G
0.685894, 0.000141, 0.000032, 4.087576,H
0.492440, 0.000140, 0.000032, 4.042147,I
2.089728, 0.000131, 0.000031, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 88
1.236869, 0.000125, 0.000026, 2.978407,A
2.009290, 0.000116, 0.000027, 1.912332,B
1.427492, 0.000118, 0.000027, 2.021896,C
1.315148, 0.000119, 0.000027, 2.585320,D
1.174297, 0.000119, 0.000029, 2.509260,E
0.437581, 0.000123, 0.000027, 4.986297,F
1.703011, 0.000120, 0.000026, 2.632789,G
0.685894, 0.000124, 0.000028, 4.087576,H
0.492440, 0.000121, 0.000026, 4.042147,I
2.089728, 0.000114, 0.000027, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 89
1.236869, 0.000109, 0.000024, 2.978407,A
2.009290, 0.000102, 0.000024, 1.912332,B
1.427492, 0.000103, 0.000023, 2.021896,C
1.315148, 0.000103, 0.000024, 2.585320,D
1.174297, 0.000104, 0.000025, 2.509260,E
0.437581, 0.000108, 0.000023, 4.986297,F
1.703011, 0.000104, 0.000023, 2.632789,G
0.685894, 0.000108, 0.000023, 4.087576,H
0.492440, 0.000107, 0.000023, 4.042147,I
2.089728, 0.000100, 0.000024, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 90
1.236869, 0.000094, 0.000020, 2.978407,A
2.009290, 0.000088, 0.000022, 1.912332,B
1.427492, 0.000089, 0.000020, 2.021896,C
1.315148, 0.000089, 0.000021, 2.585320,D
1.174297, 0.000091, 0.000022, 2.509260,E
0.437581, 0.000095, 0.000020, 4.986297,F
1.703011, 0.000091, 0.000020, 2.632789,G
0.685894, 0.000092, 0.000020, 4.087576,H
0.492440, 0.000094, 0.000020, 4.042147,I
2.089728, 0.000087, 0.000021, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 91
1.236869, 0.000080, 0.000017, 2.978407,A
2.009290, 0.000077, 0.000019, 1.912332,B
1.427492, 0.000077, 0.000018, 2.021896,C
1.315148, 0.000076, 0.000019, 2.585320,D
1.174297, 0.000079, 0.000019, 2.509260,E
0.437581, 0.000084, 0.000017, 4.986297,F
1.703011, 0.000080, 0.000018, 2.632789,G
0.685894, 0.000080, 0.000018, 4.087576,H
0.492440, 0.000082, 0.000018, 4.042147,I
2.089728, 0.000075, 0.000018, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 92
1.236869, 0.000069, 0.000015, 2.978407,A
2.009290, 0.000067, 0.000017, 1.912332,B
1.427492, 0.000067, 0.000016, 2.021896,C
1.315148, 0.000066, 0.000017, 2.585320,D
1.174297, 0.000068, 0.000017, 2.509260,E
0.437581, 0.000072, 0.000015, 4.986297,F
1.703011, 0.000069, 0.000016, 2.632789,G
0.685894, 0.000070, 0.000015, 4.087576,H
0.492440, 0.000072, 0.000016, 4.042147,I
2.089728, 0.000065, 0.000016, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 93
1.236869, 0.000060, 0.000014, 2.978407,A
2.009290, 0.000058, 0.000014, 1.912332,B
1.427492, 0.000058, 0.000014, 2.021896,C
1.315148, 0.000057, 0.000015, 2.585320,D
1.174297, 0.000059, 0.000014, 2.509260,E
0.437581, 0.000062, 0.000013, 4.986297,F
1.703011, 0.000060, 0.000014, 2.632789,G
0.685894, 0.000061, 0.000013, 4.087576,H
0.492440, 0.000062, 0.000013, 4.042147,I
2.089728, 0.000057, 0.000014, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 94
1.236869, 0.000051, 0.000012, 2.978407,A
2.009290, 0.000050, 0.000012, 1.912332,B
1.427492, 0.000050, 0.000012, 2.021896,C
1.315148, 0.000050, 0.000013, 2.585320,D
1.174297, 0.000052, 0.000012, 2.509260,E
0.437581, 0.000054, 0.000012, 4.986297,F
1.703011, 0.000052, 0.000012, 2.632789,G
0.685894, 0.000054, 0.000012, 4.087576,H
0.492440, 0.000054, 0.000012, 4.042147,I
2.089728, 0.000050, 0.000012, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 95
1.236869, 0.000044, 0.000010, 2.978407,A
2.009290, 0.000043, 0.000010, 1.912332,B
1.427492, 0.000043, 0.000010, 2.021896,C
1.315148, 0.000043, 0.000011, 2.585320,D
1.174297, 0.000044, 0.000010, 2.509260,E
0.437581, 0.000047, 0.000010, 4.986297,F
1.703011, 0.000045, 0.000010, 2.632789,G
0.685894, 0.000046, 0.000010, 4.087576,H
0.492440, 0.000048, 0.000010, 4.042147,I
2.089728, 0.000044, 0.000011, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 96
1.236869, 0.000038, 0.000009, 2.978407,A
2.009290, 0.000037, 0.000009, 1.912332,B
1.427492, 0.000037, 0.000009, 2.021896,C
1.315148, 0.000038, 0.000010, 2.585320,D
1.174297, 0.000038, 0.000009, 2.509260,E
0.437581, 0.000041, 0.000009, 4.986297,F
1.703011, 0.000039, 0.000009, 2.632789,G
0.685894, 0.000040, 0.000009, 4.087576,H
0.492440, 0.000041, 0.000009, 4.042147,I
2.089728, 0.000038, 0.000009, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 97
1.236869, 0.000033, 0.000008, 2.978407,A
2.009290, 0.000033, 0.000008, 1.912332,B
1.427492, 0.000032, 0.000008, 2.021896,C
1.315148, 0.000033, 0.000008, 2.585320,D
1.174297, 0.000033, 0.000008, 2.509260,E
0.437581, 0.000036, 0.000008, 4.986297,F
1.703011, 0.000034, 0.000007, 2.632789,G
0.685894, 0.000034, 0.000007, 4.087576,H
0.492440, 0.000035, 0.000008, 4.042147,I
2.089728, 0.000033, 0.000008, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 98
1.236869, 0.000029, 0.000007, 2.978407,A
2.009290, 0.000029, 0.000007, 1.912332,B
1.427492, 0.000028, 0.000007, 2.021896,C
1.315148, 0.000029, 0.000007, 2.585320,D
1.174297, 0.000029, 0.000007, 2.509260,E
0.437581, 0.000031, 0.000007, 4.986297,F
1.703011, 0.000030, 0.000006, 2.632789,G
0.685894, 0.000029, 0.000007, 4.087576,H
0.492440, 0.000030, 0.000007, 4.042147,I
2.089728, 0.000029, 0.000007, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 99
1.236869, 0.000025, 0.000006, 2.978407,A
2.009290, 0.000025, 0.000006, 1.912332,B
1.427492, 0.000024, 0.000006, 2.021896,C
1.315148, 0.000025, 0.000006, 2.585320,D
1.174297, 0.000025, 0.000006, 2.509260,E
0.437581, 0.000026, 0.000006, 4.986297,F
1.703011, 0.000026, 0.000006, 2.632789,G
0.685894, 0.000026, 0.000006, 4.087576,H
0.492440, 0.000026, 0.000006, 4.042147,I
2.089728, 0.000026, 0.000006, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 100
1.236869, 0.000022, 0.000005, 2.978407,A
2.009290, 0.000022, 0.000005, 1.912332,B
1.427492, 0.000020, 0.000005, 2.021896,C
1.315148, 0.000022, 0.000006, 2.585320,D
1.174297, 0.000022, 0.000005, 2.509260,E
0.437581, 0.000023, 0.000005, 4.986297,F
1.703011, 0.000022, 0.000005, 2.632789,G
0.685894, 0.000023, 0.000005, 4.087576,H
