amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 1
1.044679, 2.666788, 0.270956, 1.912332, 8.420000, B
1.464701, 2.515476, 0.252022, 2.021896, 8.420000, C
1.168551, 2.744604, 0.253075, 2.585320, 8.420000, D
1.127113, 2.710326, 0.260783, 2.509260, 8.420000, E
0.671035, 2.893986, 0.247417, 4.986297, 8.420000, F
0.772478, 2.568053, 0.243045, 2.632789, 8.420000, G
0.516535, 2.764746, 0.232160, 4.087576, 8.420000, H
0.637623, 2.707198, 0.240201, 4.042147, 8.420000, I
2.501958, 2.594425, 0.245462, 2.240037, 8.420000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 11
0.387918, 2.655796, 0.241488, 2.978407, 8.300000, A
1.044679, 2.528024, 0.270048, 1.912332, 8.300000, B
1.464701, 2.583317, 0.282507, 2.021896, 8.300000, C
1.168551, 2.578445, 0.224476, 2.585320, 8.300000, D
1.127113, 2.640946, 0.227261, 2.509260, 8.300000, E
0.671035, 2.629264, 0.207834, 4.986297, 8.300000, F
0.772478, 2.378430, 0.240383, 2.632789, 8.300000, G
0.516535, 2.536658, 0.205467, 4.087576, 8.300000, H
0.637623, 2.761994, 0.251803, 4.042147, 8.300000, I
2.501958, 2.484470, 0.228233, 2.240037, 8.300000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 12
0.387918, 2.425671, 0.214989, 2.978407, 8.260000, A
1.044679, 2.478259, 0.298512, 1.912332, 8.260000, B
1.464701, 2.447353, 0.253560, 2.021896, 8.260000, C
1.168551, 2.498798, 0.225017, 2.585320, 8.260000, D
1.127113, 2.573470, 0.208747, 2.509260, 8.260000, E
0.671035, 2.555363, 0.264051, 4.986297, 8.260000, F
0.772478, 2.321196, 0.276957, 2.632789, 8.260000, G
0.516535, 2.466414, 0.233496, 4.087576, 8.260000, H
0.637623, 2.484517, 0.209836, 4.042147, 8.260000, I
2.501958, 2.358996, 0.222112, 2.240037, 8.260000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 13
0.387918, 2.239997, 0.217254, 2.978407, 8.150000, A
1.044679, 2.311064, 0.244811, 1.912332, 8.150000, B
1.464701, 2.257382, 0.220610, 2.021896, 8.150000, C
1.168551, 2.360891, 0.198217, 2.585320, 8.150000, D
1.127113, 2.416515, 0.180960, 2.509260, 8.150000, E
0.671035, 2.458408, 0.232051, 4.986297, 8.150000, F
0.772478, 2.377918, 0.268004, 2.632789, 8.150000, G
0.516535, 2.345283, 0.222867, 4.087576, 8.150000, H
0.637623, 2.317875, 0.210225, 4.042147, 8.150000, I
2.501958, 2.375921, 0.241670, 2.240037, 8.150000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 14
0.387918, 2.097977, 0.216449, 2.978407, 8.250000, A
1.044679, 2.167391, 0.233697, 1.912332, 8.250000, B
1.464701, 2.106483, 0.214615, 2.021896, 8.250000, C
1.168551, 2.154988, 0.190700, 2.585320, 8.250000, D
1.127113, 2.180380, 0.160671, 2.509260, 8.250000, E
0.671035, 2.383612, 0.207866, 4.986297, 8.250000, F
0.772478, 2.357103, 0.220823, 2.632789, 8.250000, G
0.516535, 2.279673, 0.211768, 4.087576, 8.250000, H
0.637623, 2.327992, 0.218913, 4.042147, 8.250000, I
2.501958, 2.227626, 0.195325, 2.240037, 8.250000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 15
0.387918, 2.157797, 0.223900, 2.978407, 8.090000, A
1.044679, 1.989428, 0.199616, 1.912332, 8.090000, B
1.464701, 2.029670, 0.237658, 2.021896, 8.090000, C
1.168551, 2.038927, 0.185578, 2.585320, 8.090000, D
1.127113, 2.019665, 0.176381, 2.509260, 8.090000, E
0.671035, 2.193344, 0.173390, 4.986297, 8.090000, F
0.772478, 2.128942, 0.162655, 2.632789, 8.090000, G
0.516535, 2.275932, 0.204029, 4.087576, 8.090000, H
0.637623, 2.272986, 0.202152, 4.042147, 8.090000, I
2.501958, 2.126462, 0.171336, 2.240037, 8.090000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 16
0.387918, 2.167132, 0.231190, 2.978407, 8.270000, A
1.044679, 1.887664, 0.191473, 1.912332, 8.270000, B
1.464701, 1.955346, 0.232361, 2.021896, 8.270000, C
1.168551, 1.952189, 0.188759, 2.585320, 8.270000, D
1.127113, 1.919634, 0.203695, 2.509260, 8.270000, E
0.671035, 2.050136, 0.165560, 4.986297, 8.270000, F
0.772478, 1.939072, 0.165520, 2.632789, 8.270000, G
0.516535, 2.069369, 0.156800, 4.087576, 8.270000, H
0.637623, 2.053288, 0.159531, 4.042147, 8.270000, I
2.501958, 2.135155, 0.199819, 2.240037, 8.270000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 17
0.387918, 1.938709, 0.188853, 2.978407, 8.420000, A
1.044679, 1.893697, 0.233014, 1.912332, 8.420000, B
1.464701, 1.897039, 0.222617, 2.021896, 8.420000, C
1.168551, 1.946241, 0.209025, 2.585320, 8.420000, D
1.127113, 1.854244, 0.187463, 2.509260, 8.420000, E
0.671035, 2.125240, 0.203671, 4.986297, 8.420000, F
0.772478, 1.825801, 0.162994, 2.632789, 8.420000, G
0.516535, 1.952794, 0.154519, 4.087576, 8.420000, H
0.637623, 1.913084, 0.156042, 4.042147, 8.420000, I
2.501958, 1.949288, 0.168507, 2.240037, 8.420000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 18
0.387918, 1.750433, 0.162115, 2.978407, 8.240000, A
1.044679, 1.877945, 0.214028, 1.912332, 8.240000, B
1.464701, 1.916376, 0.216524, 2.021896, 8.240000, C
1.168551, 1.879572, 0.200753, 2.585320, 8.240000, D
1.127113, 2.028319, 0.217595, 2.509260, 8.240000, E
0.671035, 1.866422, 0.160888, 4.986297, 8.240000, F
0.772478, 1.928312, 0.190887, 2.632789, 8.240000, G
0.516535, 1.980973, 0.189425, 4.087576, 8.240000, H
0.637623, 1.939833, 0.193210, 4.042147, 8.240000, I
2.501958, 1.782034, 0.159760, 2.240037, 8.240000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 19
0.387918, 1.588818, 0.153817, 2.978407, 8.120000, A
1.044679, 1.793243, 0.184320, 1.912332, 8.120000, B
1.464701, 1.844811, 0.202462, 2.021896, 8.120000, C
1.168551, 1.801407, 0.192917, 2.585320, 8.120000, D
1.127113, 1.871916, 0.160752, 2.509260, 8.120000, E
0.671035, 1.671411, 0.154010, 4.986297, 8.120000, F
0.772478, 1.846709, 0.173386, 2.632789, 8.120000, G
0.516535, 1.894282, 0.170110, 4.087576, 8.120000, H
0.637623, 1.894122, 0.174589, 4.042147, 8.120000, I
2.501958, 1.678364, 0.170440, 2.240037, 8.120000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 20
0.387918, 1.489777, 0.166223, 2.978407, 8.110000, A
1.044679, 1.775525, 0.176029, 1.912332, 8.110000, B
1.464701, 1.670079, 0.166738, 2.021896, 8.110000, C
1.168551, 1.714022, 0.180317, 2.585320, 8.110000, D
1.127113, 1.700896, 0.129274, 2.509260, 8.110000, E
0.671035, 1.614157, 0.170200, 4.986297, 8.110000, F
0.772478, 1.743463, 0.150137, 2.632789, 8.110000, G
0.516535, 1.744650, 0.140495, 4.087576, 8.110000, H
0.637623, 1.798681, 0.142396, 4.042147, 8.110000, I
2.501958, 1.636008, 0.173359, 2.240037, 8.110000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
